"Story","Title","Result","Date","Stability","Duration (s)"
"Pruebas de consumos de API de reqres in","Obtener respuesta de un usuario no registrado en la API","PENDING","2021-09-20T17:43:52.867-05:00[America/Bogota]","0.0","0.3"
"Pruebas de consumos de API de reqres in","Actualizar lista de empleados en la API","PENDING","2021-09-20T17:43:53.299-05:00[America/Bogota]","0.0","0.06"
