"Story","Title","Result","Date","Stability","Duration (s)"
"Pruebas de consumos de API de reqres in","Obtener respuesta de un usuario no registrado en la API","SUCCESS","2021-09-23T14:20:37.729-05:00[America/Bogota]","0.0","8.18"
"Pruebas de consumos de API de reqres in","Actualizar lista de empleados en la API","SUCCESS","2021-09-23T14:20:45.953-05:00[America/Bogota]","0.0","1.05"
"Pruebas de inicio de sesión en La Haus","Iniciar sesión en la aplicación La Haus por medio de la cuenta de Google","SUCCESS","2021-09-23T13:51:37.338-05:00[America/Bogota]","0.0","37.78"
